id,pokedex_no,P_name,forme,hidden_ability,description1,description2,class,percent_female,pre-evolution
55,55,Golduck,Golduck,Swift Swim,"It is said that the red part of its forehead grants supernatural powers to those who possess one, so it was over-hunted in the past.",It swims along the banks of lakes and catches fish Pokémon. It takes them to the shore and quietly eats them up.,Duck Pokémon,0.5,Psyduck
56,56,Mankey,Mankey,Defiant,"It can spontaneously become enraged. Everyone near it clears out as it rampages, and the resulting loneliness makes it angrier still.","Its raging tires it out and causes it to fall asleep, but the anger resonating in its dreams causes it to wake up—which infuriates it all over again.",Pig Monkey Pokémon,0.5,
57,57,Primeape,Primeape,Defiant,"It has been known to become so angry that it dies as a result. Its face looks peaceful in death, however.",Some researchers theorize that Primeape remains angry even when inside a Poké Ball.,Pig Monkey Pokémon,0.5,Mankey
58,58,Growlithe,Growlithe,Justified,"It’s both clever and loyal, but if a stranger tries to invade its territory, it barks threateningly.","It looks cute, but when you approach another Trainer’s Growlithe, it will bark at you and bite.",Puppy Pokémon,0.25,
59,59,Arcanine,Arcanine,Justified,"Overflowing with beauty and majesty, this strong Pokémon appears in ancient Eastern folklore.",The fire burning inside its body serves as the energy to fuel it as it runs great distances. It appears in many legends.,Legendary Pokémon,0.25,Growlithe
60,60,Poliwag,Poliwag,Swift Swim,"The swirl on its belly is its internal organs showing through. If the swirl is tinged white, that means it’s affected by some disease.",It’s still not very good at walking. Its Trainers should train this Pokémon to walk every day.,Tadpole Pokémon,0.5,
61,61,Poliwhirl,Poliwhirl,Swift Swim,"Although it can live on land, it prefers to stay in the water, where it has fewer natural enemies.",It marches over the land in search of bug Pokémon to eat. Then it takes them underwater so it can dine on them where it’s safe.,Tadpole Pokémon,0.5,Poliwag
62,62,Poliwrath,Poliwrath,Swift Swim,Poliwrath in the Alola region are strong swimmers that use the breaststroke. Many children learn to swim by imitating Poliwrath.,"Its percentage of body fat is nearly zero. Its body is entirely muscle, which makes it heavy and forces its swimming prowess to develop.",Tadpole Pokémon,0.5,Poliwhirl
63,63,Abra,Abra,Magic Guard,"It sleeps 18 hours a day. Even while sleeping, it will teleport itself to treetops and pick and eat berries there.","It can teleport itself to safety while it’s asleep, but when it wakes, it doesn’t know where it is, so it panics.",Psi Pokémon,0.25,
64,64,Kadabra,Kadabra,Magic Guard,A theory exists that this Pokémon was a young boy who couldn’t control his psychic powers and ended up transformed into this Pokémon.,Kadabra’s presence infests televisions and monitors with creepy shadows that bring bad luck.,Psi Pokémon,0.25,Abra
65,65,Alakazam,Alakazam,Magic Guard,"It is said to have an IQ of approximately 5,000. Its overflowing psychokinetic powers cause headaches to anyone nearby.","Its brain cells continue to increase in number until its death. The older the Alakazam, the larger its head.",Psi Pokémon,0.25,Kadabra
66,66,Machop,Machop,Steadfast,"It loves working out. As it gazes at its muscles, which continue to swell day by day, it becomes more and more dedicated to its training.","With its superhuman strength, it’s able to throw a hundred people all at the same time. Its strength comes from lifting Graveler every day.",Superpower Pokémon,0.25,
67,67,Machoke,Machoke,Steadfast,"As a result of its continual workouts, it has developed tremendous power. It uses that power to help people with their work.",It willingly assists with hard labor because it knows the work is good training for its muscles.,Superpower Pokémon,0.25,Machop
68,68,Machamp,Machamp,Steadfast,It unleashes megaton-level punches that send opponents flying clear over the horizon.,It can lift heavy loads with the greatest of ease. It can even heft dump trucks. But its clumsy fingers prevent it from doing any precision work.,Superpower Pokémon,0.25,Machoke
69,69,Bellsprout,Bellsprout,Gluttony,,,Flower Pokémon,0.5,
70,70,Weepinbell,Weepinbell,Gluttony,,,Flycatcher Pokémon,0.5,Bellsprout
71,71,Victreebel,Victreebel,Gluttony,,,Flycatcher Pokémon,0.5,Weepinbell
72,72,Tentacool,Tentacool,Rain Dish,"They can be found lying dehydrated on beaches, but they are often still alive. When soaked in water, they will revive.","It drifts in shallow seas, such as the areas near beaches. If you get bitten or stabbed by its toxic tentacles, rush to the hospital.",Jellyfish Pokémon,0.5,
73,73,Tentacruel,Tentacruel,Rain Dish,"Normally, it has 80 poisonous tentacles. The longer one has been alive, the fewer tentacles it will have.","Although these Pokémon are rare, when a large outbreak of them occurs, all fish Pokémon disappear from the surrounding sea.",Jellyfish Pokémon,0.5,Tentacool
74,74,Geodude,Geodude,Sand Veil,"Its round body makes it easy to pick up, but it is hard and heavy. It’s dangerous to play with them as if they were snowballs.",There are plenty of them to be found along any road. A scholar with too much free time once counted a hundred of them along a single route.,Rock Pokémon,0.5,
75,75,Graveler,Graveler,Sand Veil,Mossy rocks are its favorite food. It can devour a ton a day while crunching loudly.,"This slow-footed Pokémon moves by curling up and rolling instead of walking. With enough momentum, its speed can exceed 60 mph.",Rock Pokémon,0.5,Geodude
76,76,Golem,Golem,Sand Veil,"Its body can survive dynamite blasts without a single scratch, but it hates rain and humidity.","Once a year, this Pokémon molts, and its shed shell returns to the soil. This process creates enriched soil, so farmers collect the shells.",Megaton Pokémon,0.5,Graveler
77,77,Ponyta,Ponyta,Flame Body,,,Fire Horse Pokémon,0.5,
78,78,Rapidash,Rapidash,Flame Body,,,Fire Horse Pokémon,0.5,Ponyta
79,79,Slowpoke,Slowpoke,Regenerator,"Its long tail often breaks off. It doesn’t really feel any pain, though, and the tail grows back, so Slowpoke isn’t particularly bothered.",Alolan home cooking involves drying Slowpoke tails and then simmering them into a salty stew.,Dopey Pokémon,0.5,
80,80,Slowbro,Slowbro,Regenerator,"It spaces out while gazing at the sea. With Shellder’s poison flowing through its body, it becomes even spacier.","Whenever Shellder bites down hard on its tail, it gives Slowbro a flash of inspiration...which it forgets a moment later.",Hermit Crab Pokémon,0.5,Slowpoke
81,81,Magnemite,Magnemite,Analytic,They gather in places where electricity is available. They can be found clinging to the steel towers used to support power lines.,"It sends out electromagnetic waves, which let it float through the air. Touching it while it’s eating electricity will give you a full-body shock.",Magnet Pokémon,,
82,82,Magneton,Magneton,Analytic,"When three Magnemite link together, their brains also become one. They do not become three times more intelligent.","It has about three times the electrical power of Magnemite. For some reason, outbreaks of this Pokémon happen when lots of sunspots appear.",Magnet Pokémon,,Magnemite
83,83,Farfetch’d,Farfetch’d,Defiant,,,Wild Duck Pokémon,0.5,
84,84,Doduo,Doduo,Tangled Feet,,,Twin Bird Pokémon,0.5,
85,85,Dodrio,Dodrio,Tangled Feet,,,Triple Bird Pokémon,0.5,Doduo
86,86,Seel,Seel,Ice Body,,,Sea Lion Pokémon,0.5,
87,87,Dewgong,Dewgong,Ice Body,,,Sea Lion Pokémon,0.5,Seel
88,88,Grimer,Grimer,Poison Touch,Its main source of food is the slimy industrial waste of factories. This Pokémon’s numbers have been decreasing in recent years.,"It was born from sludge transformed by exposure to X-rays from the moon. When its internal load of germs decreases, it dies.",Sludge Pokémon,0.5,
89,89,Muk,Muk,Poison Touch,"The stench it gives off will make your nose scrunch up. Still, there are Muk fans who think that’s a good thing.","After recent environmental improvements, this Pokémon is now hardly seen at all. People speculate that it may go extinct at some point.",Sludge Pokémon,0.5,Grimer
90,90,Shellder,Shellder,Overcoat,"The hardness of its shell surpasses the hardness of a diamond. In days gone by, people used the shells to make shields.",This Pokémon’s tongue is always hanging out. It uses its tongue with great dexterity to dig up sand from the seabed in its search for food.,Bivalve Pokémon,0.5,
91,91,Cloyster,Cloyster,Overcoat,Its hard shell cannot be shattered—not even by a bomb. The contents of the shell remain unknown.,Excavation of the tombs of ancient hunting tribes has turned up many spears tipped with spikes that had fallen off this Pokémon’s shell.,Bivalve Pokémon,0.5,Shellder
92,92,Gastly,Gastly,,"Should a strange light be seen flickering in an abandoned building, Gastly is lurking there.","Although Gastly is barely visible, when it’s near, a faint sweet smell lingers.",Gas Pokémon,0.5,
93,93,Haunter,Haunter,,It strikes at humans from total darkness. Those licked by its cold tongue grow weaker with each passing day until they die.,It fears the light and revels in the dark. It may be on the verge of extinction in cities that stay brightly lit at night.,Gas Pokémon,0.5,Gastly
94,94,Gengar,Gengar,Cursed Body,"Should you feel yourself attacked by a sudden chill, it is evidence of an approaching Gengar. There is no escaping it. Give up.","It apparently wishes for a traveling companion. Since it was once human itself, it tries to create one by taking the lives of other humans.",Shadow Pokémon,0.5,Haunter
95,95,Onix,Onix,Weak Armor,,,Rock Snake Pokémon,0.5,
96,96,Drowzee,Drowzee,Inner Focus,"A Pokémon that nourishes itself by eating dreams, it is thought to share common ancestry with Munna and Musharna.","It finds really fun dreams tasty. When it makes friends with people, it may show them the most delicious dreams it’s ever eaten.",Hypnosis Pokémon,0.5,
97,97,Hypno,Hypno,Inner Focus,"While it is an extremely dangerous Pokémon, people who are in need of a good, sound sleep call it their savior.","As a matter of course, it makes anyone it meets fall asleep and has a taste of their dreams. Anyone having a good dream, it carries off.",Hypnosis Pokémon,0.5,Drowzee
98,98,Krabby,Krabby,Sheer Force,,,River Crab Pokémon,0.5,
99,99,Kingler,Kingler,Sheer Force,,,Pincer Pokémon,0.5,Krabby
100,100,Voltorb,Voltorb,Aftermath,,,Ball Pokémon,,
101,101,Electrode,Electrode,Aftermath,,,Ball Pokémon,,Voltorb
102,102,Exeggcute,Exeggcute,Harvest,Its six eggs use telepathy to communicate among themselves. It is believed to carry plant genes and the genes of other species.,"Six of them together form a full-fledged Pokémon. It’s often hunted by Crabrawler, but uses psychokinesis to drive it off.",Egg Pokémon,0.5,
103,103,Exeggutor,Exeggutor,Harvest,Each of its heads has its own will. They use telepathy to discuss their plans before coming to a joint decision.,"When the time comes, one of its three heads falls off. Before long, the fallen head grows into an Exeggcute.",Coconut Pokémon,0.5,Exeggcute
104,104,Cubone,Cubone,Battle Armor,"When it thinks of its deceased mother, it weeps loudly. Mandibuzz that hear its cries will attack it from the air.","The skull it wears on its head is that of its dead mother. According to some, it will evolve when it comes to terms with the pain of her death.",Lonely Pokémon,0.5,
105,105,Marowak,Marowak,Battle Armor,"Originally, it was weak and timid. After evolution, its temperament becomes violent, and it begins to wield bones as weapons.","This Pokémon is out for vengeance on its natural enemy, Mandibuzz. It throws bones like boomerangs to try to take it down.",Bone Keeper Pokémon,0.5,Cubone
106,106,Hitmonlee,Hitmonlee,Unburden,,,Kicking Pokémon,0.0,Tyrogue
107,107,Hitmonchan,Hitmonchan,Inner Focus,,,Punching Pokémon,0.0,Tyrogue
108,108,Lickitung,Lickitung,Cloud Nine,,,Licking Pokémon,0.5,
109,109,Koffing,Koffing,,,,Poison Gas Pokémon,0.5,
110,110,Weezing,Weezing,,,,Poison Gas Pokémon,0.5,Koffing
111,111,Rhyhorn,Rhyhorn,Reckless,,,Spikes Pokémon,0.5,
112,112,Rhydon,Rhydon,Reckless,,,Drill Pokémon,0.5,Rhyhorn
113,113,Chansey,Chansey,Healer,The eggs laid by Chansey are rich in nutrients and a favorite food of many Pokémon.,"Not only are these Pokémon fast runners, they’re also few in number, so anyone who finds one must be lucky indeed.",Egg Pokémon,1.0,Happiny
114,114,Tangela,Tangela,Regenerator,,,Vine Pokémon,0.5,
115,115,Kangaskhan,Kangaskhan,Inner Focus,Kangaskhan’s maternal love is so deep that it will brave death to protect its offspring.,The child in its pouch leaves home after roughly three years. That is the only time the mother is heard to cry wildly.,Parent Pokémon,1.0,
116,116,Horsea,Horsea,Damp,,,Dragon Pokémon,0.5,
117,117,Seadra,Seadra,Damp,,,Dragon Pokémon,0.5,Horsea
118,118,Goldeen,Goldeen,Damp,"When the weather grows warm, they form groups and swim upriver. This sight serves as a poetic reminder that spring has arrived.","Spellbound by the length of its horn and the beauty of its fins, many strange Trainers raise Goldeen and nothing but Goldeen.",Goldfish Pokémon,0.5,
119,119,Seaking,Seaking,Lightning Rod,"When the weather grows cold, its whole body flushes a deep red. This sight serves as a poetic reminder that autumn has arrived.",Trainers who are crazy for Seaking are divided into horn enthusiasts and fin enthusiasts. The two groups do not get along well.,Goldfish Pokémon,0.5,Goldeen
120,120,Staryu,Staryu,Analytic,"Large numbers of these Pokémon make their home at the seaside. At night, a strange red glow radiates from the center of their bodies.","This Pokémon gets nibbled on by Lumineon and others. Thanks to its red core, it regenerates fast, so it’s unconcerned by their snack attacks.",Star Shape Pokémon,,
121,121,Starmie,Starmie,Analytic,Its shining core is thought to receive and transmit enigmatic signals. It has been known to cause headaches in those who approach it.,"Its unusual body shape, reminiscent of abstract art, led local people to spread rumors that this Pokémon may be an invader from outer space.",Mysterious Pokémon,,Staryu
122,122,Mr. Mime,Mr. Mime,Technician,,,Barrier Pokémon,0.5,Mime Jr.
123,123,Scyther,Scyther,Steadfast,"It confuses its prey with its quick, ninja-like movements. Then, in an instant, it cleaves them with its scythes.","While young, they live together deep in the mountains, training themselves in how to fight with their scythes and move at high speeds.",Mantis Pokémon,0.5,
124,124,Jynx,Jynx,Dry Skin,,,Human Shape Pokémon,1.0,Smoochum
125,125,Electabuzz,Electabuzz,Vital Spirit,Half of all sudden blackouts are caused by Electabuzz gathering at electric power plants and gobbling up electricity.,Electricity leaks from it in amounts far greater than the amount of electricity it eats.,Electric Pokémon,0.25,Elekid
126,126,Magmar,Magmar,Vital Spirit,"When it’s tired, it leaps into the mouth of a volcano and soaks its body in magma to ease its weariness. Its body burns at 2,192 degrees F.","When angered, it spouts brilliant fire from all over its body. It doesn’t calm down until its opponent has burned to ash.",Spitfire Pokémon,0.25,Magby
127,127,Pinsir,Pinsir,Moxie,"It grips its prey in its pincers and splits them apart. Although it is a powerful Pokémon, it can’t deal with the cold.",One solid blow from its horns is enough to split apart a large tree. Its greatest rival in Alola is Vikavolt.,Stag Beetle Pokémon,0.5,
128,128,Tauros,Tauros,Sheer Force,"Historically, people in areas all over the world have ridden Tauros, but the practice is said to have started in Alola.","Although it’s known to be a fierce Pokémon, Tauros in the Alola region are said to possess a measure of calmness.",Wild Bull Pokémon,0.0,
129,129,Magikarp,Magikarp,Rattled,"Although weak and helpless, this Pokémon is incredibly fertile. They exist in such multitudes, you’ll soon grow tired of seeing them.","Its reckless leaps make it easy pickings for predators. On the bright side, many Pokémon enjoy longer life spans, thanks to Magikarp.",Fish Pokémon,0.5,
130,130,Gyarados,Gyarados,Moxie,"A tale is told of a town that angered Gyarados. Before the sun rose the next day, flames utterly consumed the town, leaving not a trace behind.",There are people who swear that any place Gyarados appears is fated for destruction.,Atrocious Pokémon,0.5,Magikarp
131,131,Lapras,Lapras,Hydration,"Its high intelligence enables it to comprehend human speech. When it’s in a good mood, it sings in its beautiful voice.","These Pokémon were once near extinction due to poaching. Following protective regulations, there is now an overabundance of them.",Transport Pokémon,0.5,
132,132,Ditto,Ditto,Imposter,It can reorganize its cells to make itself into a duplicate of anything it sees. The quality of the duplicate depends on the individual.,"With its astonishing capacity for metamorphosis, it can get along with anything. It does not get along well with its fellow Ditto.",Transform Pokémon,,
133,133,Eevee,Eevee,Anticipation,"Possessing an unbalanced and unstable genetic makeup, it conceals many possible evolutions.",Current studies show it can evolve into an incredible eight different species of Pokémon.,Evolution Pokémon,0.125,
134,134,Vaporeon,Vaporeon,Hydration,Its cells are composed of units much like water molecules. It lives close to water and is often mistaken for a mermaid.,"Blending in with the water and erasing all signs of its presence, it patiently waits for its prey, fish Pokémon.",Bubble Jet Pokémon,0.125,Eevee
135,135,Jolteon,Jolteon,Quick Feet,"They send out electrical charges of about 10,000 volts. Because they are high-strung, it can be difficult to grow close to them.","When its fur stands on end, that’s a sign it’s about to give off a jolt of electricity. Take care, as sometimes lightning strikes next to it, too.",Lightning Pokémon,0.125,Eevee
136,136,Flareon,Flareon,Guts,"When it catches prey or finds berries, it breathes fire on them until they’re well done, and then it gobbles them up.","Its average body temperature is between 1,300 and 1,500 degrees Fahrenheit. In its internal flame sac, temperatures reach 3,000 degrees.",Flame Pokémon,0.125,Eevee
137,137,Porygon,Porygon,Analytic,"Roughly 20 years ago, it was artificially created, utilizing the latest technology of the time.","It can convert its body into digital data, which enables it to enter cyberspace.",Virtual Pokémon,0.125,
138,138,Omanyte,Omanyte,Weak Armor,,,Spiral Pokémon,0.125,
139,139,Omastar,Omastar,Weak Armor,,,Spiral Pokémon,0.125,Omanyte
140,140,Kabuto,Kabuto,Weak Armor,,,Shellfish Pokémon,0.125,
141,141,Kabutops,Kabutops,Weak Armor,,,Shellfish Pokémon,0.125,Kabuto
142,142,Aerodactyl,Aerodactyl,Unnerve,A Pokémon from the age of the dinosaurs. It used its sawlike fangs to shred its prey before eating them.,"In ancient times, it ruled the skies. A widely accepted theory is that it went extinct due to a large meteor impact.",Fossil Pokémon,0.125,
143,143,Snorlax,Snorlax,Gluttony,Its stomach is said to be incomparably strong. Even Muk’s poison is nothing more than a hint of spice on Snorlax’s tongue.,It eats nearly 900 pounds of food every day. It starts nodding off while eating—and continues to eat even while it’s asleep.,Sleeping Pokémon,0.125,Munchlax
144,144,Articuno,Articuno,Snow Cloak,,,Freeze Pokémon,,
145,145,Zapdos,Zapdos,Static,,,Electric Pokémon,,
146,146,Moltres,Moltres,Flame Body,,,Flame Pokémon,,
147,147,Dratini,Dratini,Marvel Scale,It grows by molting repeatedly. Boots made from the tanned cast-off skin are a super luxury item.,"After a 10-hour struggle, a fisherman was able to pull one up and confirm its existence.",Dragon Pokémon,0.5,
148,148,Dragonair,Dragonair,Marvel Scale,It has long been thought that its crystalline orbs are imbued with the power to control the weather.,"From time immemorial, it has been venerated by agricultural peoples as an entity able to control the weather.",Dragon Pokémon,0.5,Dratini
149,149,Dragonite,Dragonite,Multiscale,"This Pokémon saved a shipwrecked man, taking him to a remote island—a paradise occupied solely by Dragonite.","Incur the wrath of this normally calm Pokémon at your peril, because it will smash everything to smithereens before it’s satisfied.",Dragon Pokémon,0.0,Dragonair
150,150,Mewtwo,Mewtwo,Unnerve,,,Genetic Pokémon,,
151,151,Mew,Mew,,,,New Species Pokémon,,
152,152,Chikorita,Chikorita,Leaf Guard,,,Leaf Pokémon,0.125,
153,153,Bayleef,Bayleef,Leaf Guard,,,Leaf Pokémon,0.125,Chikorita
154,154,Meganium,Meganium,Leaf Guard,,,Herb Pokémon,0.125,Bayleef
155,155,Cyndaquil,Cyndaquil,Flash Fire,,,Fire Mouse Pokémon,0.125,
156,156,Quilava,Quilava,Flash Fire,,,Volcano Pokémon,0.125,Cyndaquil
157,157,Typhlosion,Typhlosion,Flash Fire,,,Volcano Pokémon,0.125,Quilava
158,158,Totodile,Totodile,Sheer Force,,,Big Jaw Pokémon,0.125,
159,159,Croconaw,Croconaw,Sheer Force,,,Big Jaw Pokémon,0.125,Totodile
160,160,Feraligatr,Feraligatr,Sheer Force,,,Big Jaw Pokémon,0.125,Croconaw
161,161,Sentret,Sentret,Frisk,,,Scout Pokémon,0.5,
162,162,Furret,Furret,Frisk,,,Long Body Pokémon,0.5,Sentret
163,163,Hoothoot,Hoothoot,Tinted Lens,,,Owl Pokémon,0.5,
164,164,Noctowl,Noctowl,Tinted Lens,,,Owl Pokémon,0.5,Hoothoot
165,165,Ledyba,Ledyba,Rattled,They are timid and grow uneasy when not in a swarm with others of their kind. The pattern on their backs differs slightly from one to another.,"They communicate with one another using bodily fluids that give off odors. When they’re angry, their odor smells sour.",Five Star Pokémon,0.5,
